epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2272,1.65199,3.71516,0.92452,0.00992,0.49407,0.04205,0.01162,1.55333,3.70082,0.88022,0.00014,0.00014,0.00014
2,111.952,1.43896,2.53413,0.86991,0.01754,0.87352,0.1618,0.04894,1.35971,3.59809,0.82315,0.000201,0.000201,0.000201
3,172.247,1.35021,1.61189,0.85002,0.01778,0.88538,0.1686,0.04509,1.36999,3.56023,0.87287,0.0001564,0.0001564,0.0001564
