epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9212,0.59823,2.9038,0.80076,0.94818,0.93466,0.97095,0.76512,0.74438,0.56139,0.91546,0.00026,0.00026,0.00026
2,135.623,0.63538,0.53009,0.84583,0.98483,0.92236,0.97455,0.77736,0.68955,0.55368,0.88842,0.000516757,0.000516757,0.000516757
3,208.376,0.66807,0.53649,0.84307,0.97677,0.94318,0.97659,0.78616,0.69038,0.54328,0.88089,0.000749409,0.000749409,0.000749409
4,293.265,0.71323,0.56416,0.87898,0.97909,0.93101,0.95837,0.76373,0.72606,0.61997,0.9024,0.000957957,0.000957957,0.000957957
5,374.904,0.72364,0.59983,0.85759,0.97445,0.92107,0.96564,0.75716,0.75723,0.6098,0.9139,0.0011424,0.0011424,0.0011424
6,454.417,0.66782,0.53674,0.83633,0.97751,0.92756,0.96926,0.76933,0.73304,0.62957,0.91622,0.00130274,0.00130274,0.00130274
7,536.353,0.66276,0.55454,0.85378,0.9793,0.92756,0.97003,0.78001,0.72281,0.62859,0.91377,0.00143897,0.00143897,0.00143897
8,618.449,0.68699,0.53205,0.86481,0.98022,0.91489,0.96861,0.76681,0.73692,0.55771,0.90787,0.00139739,0.00139739,0.00139739
9,685.61,0.65699,0.50849,0.84027,0.98494,0.92907,0.9765,0.78444,0.68813,0.55221,0.89804,0.0013113,0.0013113,0.0013113
10,751.791,0.67357,0.50691,0.85184,0.98318,0.93466,0.97036,0.78527,0.655,0.50623,0.86875,0.00122522,0.00122522,0.00122522
11,818.547,0.64771,0.4965,0.85993,0.9868,0.95583,0.97979,0.80616,0.62093,0.46546,0.85845,0.00113913,0.00113913,0.00113913
12,888.847,0.55261,1.27537,0.77463,0.97568,0.94602,0.97424,0.77795,0.70765,0.53618,0.89893,0.00105304,0.00105304,0.00105304
13,967.646,0.61913,0.48842,0.84194,0.9707,0.9412,0.97241,0.79804,0.6311,0.50851,0.86099,0.000966957,0.000966957,0.000966957
14,1043.52,0.58915,0.47378,0.84547,0.97592,0.94034,0.96839,0.77749,0.67622,0.50108,0.88415,0.00088087,0.00088087,0.00088087
15,1114.21,0.54266,1.23104,0.78538,0.97597,0.93324,0.97952,0.80016,0.65195,0.4964,0.88121,0.000794783,0.000794783,0.000794783
16,1179.61,0.56042,1.04221,0.78433,0.97321,0.92887,0.96547,0.78685,0.65444,0.51112,0.87826,0.000708696,0.000708696,0.000708696
17,1245.75,0.52451,0.92668,0.77217,0.97963,0.91903,0.97706,0.79399,0.66466,0.49871,0.87827,0.000622609,0.000622609,0.000622609
18,1312.29,0.57178,0.45257,0.83416,0.97137,0.9158,0.96005,0.78724,0.6248,0.4974,0.86727,0.000536522,0.000536522,0.000536522
19,1378.8,0.55429,0.44691,0.83116,0.98047,0.92725,0.96236,0.78333,0.65349,0.52146,0.8818,0.000450435,0.000450435,0.000450435
20,1446.72,0.54148,0.40895,0.81247,0.99207,0.92188,0.97337,0.81652,0.59788,0.51385,0.86164,0.000364348,0.000364348,0.000364348
21,1513.76,0.51588,1.01796,0.77801,0.9794,0.94534,0.97128,0.81685,0.59882,0.52422,0.86405,0.000278261,0.000278261,0.000278261
22,1580.87,0.55103,0.42994,0.82391,0.9798,0.92756,0.97297,0.8104,0.60525,0.48434,0.85683,0.000192174,0.000192174,0.000192174
23,1648.16,0.54397,0.41358,0.82813,0.9803,0.94886,0.97255,0.8125,0.60907,0.45422,0.85617,0.000106087,0.000106087,0.000106087
