epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0914,2.61486,22.3893,0.9331,0,0,0,0,1.68085,12.0349,0.77511,0.00014,0.00014,0.00014
2,103.076,2.10863,14.4303,0.80726,8e-05,0.04348,5e-05,0,1.5941,12.2353,0.75735,0.000201,0.000201,0.000201
3,150.604,2.0786,12.9416,0.82249,0.00032,0.17391,0.00021,6e-05,1.47577,12.1349,0.74664,0.0001564,0.0001564,0.0001564
