epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.529,1.49468,3.50977,0.92147,0.01802,0.61685,0.20853,0.06475,1.30084,3.5145,0.84689,0.00014,0.00014,0.00014
2,129.908,1.33949,2.1711,0.85881,0.02627,0.89946,0.30271,0.09396,1.35009,3.45358,0.86351,0.000287087,0.000287087,0.000287087
3,189.575,1.2991,1.42558,0.84794,0.02698,0.92391,0.13726,0.03147,1.20427,3.457,0.83581,0.0004204,0.0004204,0.0004204
4,256.232,1.17143,1.19063,0.83574,0.02643,0.90489,0.05669,0.02122,1.14615,3.38882,0.82753,0.000539939,0.000539939,0.000539939
5,335.915,1.12171,1.2035,0.84195,0.02675,0.91576,0.0396,0.01946,1.11586,3.34793,0.82566,0.000645704,0.000645704,0.000645704
6,398.021,1.05806,1.02522,0.8437,0.02563,0.87772,0.09713,0.03153,1.0918,3.14744,0.84062,0.000737696,0.000737696,0.000737696
7,460.197,1.055,0.95495,0.82876,0.02508,0.8587,0.11613,0.03964,1.0695,3.08497,0.84212,0.000815913,0.000815913,0.000815913
8,536.736,1.03464,0.90249,0.83015,0.02746,0.94022,0.44934,0.2433,1.08329,2.85305,0.82962,0.000880357,0.000880357,0.000880357
9,610.056,0.96998,0.8157,0.83021,0.02833,0.97011,0.71672,0.41909,1.08899,2.55344,0.81251,0.000931026,0.000931026,0.000931026
10,684.492,1.02094,0.8389,0.8208,0.04176,0.90761,0.76307,0.49269,1.0649,2.44715,0.80666,0.000967922,0.000967922,0.000967922
11,759.047,0.95949,0.79796,0.8185,0.95331,0.61032,0.89557,0.56827,0.9995,2.1852,0.82301,0.000991043,0.000991043,0.000991043
12,838.463,0.96531,0.79484,0.81358,0.98981,0.52812,0.95102,0.63217,1.02325,1.84124,0.82115,0.00100039,0.00100039,0.00100039
13,917.359,0.96525,0.7551,0.82153,0.99601,0.67884,0.97084,0.67647,1.00653,1.69753,0.82839,0.000966957,0.000966957,0.000966957
14,996.437,0.80007,0.74183,0.80242,0.98003,0.875,0.97436,0.68546,1.02519,1.36814,0.83012,0.00088087,0.00088087,0.00088087
15,1080.9,0.85674,0.73773,0.81129,0.97415,0.91576,0.96681,0.69868,0.94192,1.20455,0.82313,0.000794783,0.000794783,0.000794783
16,1156.29,0.86088,0.73578,0.81095,0.96584,0.92208,0.97755,0.66854,1.00088,1.18609,0.82284,0.000708696,0.000708696,0.000708696
17,1228.23,0.86748,0.74426,0.81266,0.96131,0.94532,0.98808,0.69797,0.95867,1.02684,0.8082,0.000622609,0.000622609,0.000622609
18,1298.2,0.87666,0.74361,0.81407,0.95359,0.94927,0.97925,0.70165,0.96292,0.88036,0.81165,0.000536522,0.000536522,0.000536522
19,1371.07,0.81522,0.67808,0.80525,0.95654,0.95692,0.98121,0.7284,0.89301,0.80077,0.81701,0.000450435,0.000450435,0.000450435
20,1446.49,0.75525,0.66543,0.79671,0.96481,0.96844,0.99171,0.71655,0.92191,0.72594,0.81597,0.000364348,0.000364348,0.000364348
21,1509.36,0.74338,0.66724,0.79401,0.96736,0.96633,0.99179,0.73962,0.90026,0.68565,0.81589,0.000278261,0.000278261,0.000278261
22,1568.61,0.76072,0.64829,0.79813,0.97614,0.95652,0.98182,0.7223,0.84037,0.63936,0.82139,0.000192174,0.000192174,0.000192174
23,1645.29,0.74251,0.63432,0.79745,0.96746,0.96739,0.99193,0.73931,0.83127,0.60644,0.80676,0.000106087,0.000106087,0.000106087
