epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3483,0.51925,0.92784,0.77683,0.97533,0.95466,0.98078,0.79342,0.63672,0.45047,0.86708,0.00026,0.00026,0.00026
2,132.603,0.56645,0.42767,0.82812,0.98522,0.94675,0.98689,0.80927,0.59675,0.44334,0.84455,0.000516757,0.000516757,0.000516757
3,198.756,0.57914,0.43455,0.8221,0.98286,0.94034,0.97933,0.79732,0.62111,0.46209,0.85404,0.000749409,0.000749409,0.000749409
4,266.815,0.61113,0.44702,0.84597,0.97888,0.9517,0.97258,0.79492,0.64724,0.48853,0.87214,0.000957957,0.000957957,0.000957957
5,336.288,0.63068,0.46134,0.83082,0.97779,0.93821,0.97139,0.78506,0.66742,0.4859,0.88844,0.0011424,0.0011424,0.0011424
6,409.077,0.59849,0.43383,0.81814,0.97493,0.93892,0.97142,0.78985,0.69006,0.51013,0.89064,0.00130274,0.00130274,0.00130274
7,481.896,0.61221,0.45433,0.83404,0.99244,0.93194,0.97572,0.80099,0.67802,0.50484,0.89264,0.00143897,0.00143897,0.00143897
8,554.6,0.60296,0.44662,0.83901,0.97547,0.92472,0.97281,0.8017,0.64558,0.47604,0.8869,0.00139739,0.00139739,0.00139739
9,626.55,0.56671,0.41832,0.82126,0.97366,0.94503,0.97873,0.81264,0.60641,0.4641,0.86304,0.0013113,0.0013113,0.0013113
10,698.576,0.5958,0.43254,0.82762,0.98515,0.9233,0.96766,0.7963,0.61587,0.44838,0.8524,0.00122522,0.00122522,0.00122522
11,848.264,0.59698,0.42897,0.83869,0.98818,0.94987,0.98251,0.81748,0.61375,0.43168,0.85242,0.00113913,0.00113913,0.00113913
12,1000.07,0.51773,0.66935,0.76332,0.97567,0.9446,0.98097,0.82451,0.60218,0.43842,0.86118,0.00105304,0.00105304,0.00105304
13,1151.71,0.56679,0.40282,0.82479,0.98509,0.92898,0.97144,0.79374,0.62406,0.46778,0.85238,0.000966957,0.000966957,0.000966957
14,1271.33,0.54332,0.39071,0.82762,0.98953,0.92898,0.96845,0.79767,0.60005,0.43952,0.85273,0.00088087,0.00088087,0.00088087
15,1352.07,0.49401,0.84757,0.76821,0.98364,0.93922,0.97767,0.81632,0.61971,0.43751,0.86874,0.000794783,0.000794783,0.000794783
16,1432.84,0.52963,0.64606,0.7753,0.98308,0.92188,0.9653,0.79277,0.62928,0.48392,0.87465,0.000708696,0.000708696,0.000708696
17,1545.55,0.50543,0.58254,0.76833,0.97693,0.94744,0.97956,0.80757,0.664,0.44554,0.8765,0.000622609,0.000622609,0.000622609
18,1667.17,0.54882,0.39347,0.82371,0.97775,0.93637,0.97108,0.81446,0.58516,0.41915,0.85329,0.000536522,0.000536522,0.000536522
19,1748.89,0.55044,0.38704,0.82508,0.97491,0.94176,0.97423,0.81368,0.60944,0.44745,0.85997,0.000450435,0.000450435,0.000450435
20,1836.84,0.52815,0.36236,0.80949,0.9849,0.92664,0.9783,0.83292,0.5657,0.42545,0.85021,0.000364348,0.000364348,0.000364348
21,1923.64,0.48795,0.53051,0.77017,0.98324,0.9304,0.97787,0.83805,0.55982,0.44013,0.84989,0.000278261,0.000278261,0.000278261
22,2012.54,0.52647,0.36797,0.81883,0.97767,0.93466,0.97256,0.83536,0.55955,0.4065,0.83607,0.000192174,0.000192174,0.000192174
23,2163.86,0.5164,0.36156,0.81868,0.98519,0.94744,0.97545,0.83629,0.56626,0.40135,0.83974,0.000106087,0.000106087,0.000106087
